Category,Domain,Allowlist,Comment
Direct IP address,"\d{1,3}\.\d{1,3}\.\d{1,3}",,Generic IP regex - TODO only match public IP addresses
Enumeration,joeware.net,,Adfind
Enumeration,softperfect.com,,SoftPerfect Network Scanner
Hosting and Exfiltration,1ty.me,,
Hosting and Exfiltration,anonfiles.com,,
Hosting and Exfiltration,bashupload.com,,
Hosting and Exfiltration,dropfiles.me,,
Hosting and Exfiltration,dropmefiles.com,,
Hosting and Exfiltration,file.io,,
Hosting and Exfiltration,filetransfer.io,,
Hosting and Exfiltration,ghostbin.me,,
Hosting and Exfiltration,mega.cz,,
Hosting and Exfiltration,mega.io,,
Hosting and Exfiltration,mega.nz,,
Hosting and Exfiltration,pastebin.com,,
Hosting and Exfiltration,privatty.com,,
Hosting and Exfiltration,privnote.com,,
Hosting and Exfiltration,qaz.im,,
Hosting and Exfiltration,send.firefox.com,,
Hosting and Exfiltration,temp.sh,,
Hosting and Exfiltration,tmpfiles.org,,https://unit42.paloaltonetworks.com/cuba-ransomware-tropical-scorpius/
Hosting and Exfiltration,transfer.sh,,
Hosting and Exfiltration,ufile.io,,
RMM,anydesk.com,,
RMM,atera.com,,
RMM,logmein.com,,
RMM,logmeinrescue.com,,
RMM,splashtop.com,,
RMM,teamviewer.com,,
TLD,\.am$,,https://unit42.paloaltonetworks.com/top-level-domains-cybercrime/
TLD,\.bd$,,https://unit42.paloaltonetworks.com/top-level-domains-cybercrime/
TLD,\.casino$,,https://unit42.paloaltonetworks.com/top-level-domains-cybercrime/
TLD,\.cd$,,https://unit42.paloaltonetworks.com/top-level-domains-cybercrime/
TLD,\.cf$,,https://unit42.paloaltonetworks.com/top-level-domains-cybercrime/
TLD,\.cm$,,https://unit42.paloaltonetworks.com/top-level-domains-cybercrime/
TLD,\.cyou$,,https://unit42.paloaltonetworks.com/top-level-domains-cybercrime/
TLD,\.ga$,,https://unit42.paloaltonetworks.com/top-level-domains-cybercrime/
TLD,\.gq$,,https://unit42.paloaltonetworks.com/top-level-domains-cybercrime/
TLD,\.icu$,,https://unit42.paloaltonetworks.com/top-level-domains-cybercrime/
TLD,\.ke$,,https://unit42.paloaltonetworks.com/top-level-domains-cybercrime/
TLD,\.ml$,,https://unit42.paloaltonetworks.com/top-level-domains-cybercrime/
TLD,\.poker$,,https://unit42.paloaltonetworks.com/top-level-domains-cybercrime/
TLD,\.porn$,,https://unit42.paloaltonetworks.com/top-level-domains-cybercrime/
TLD,\.pw$,,https://unit42.paloaltonetworks.com/top-level-domains-cybercrime/
TLD,\.tk$,,https://unit42.paloaltonetworks.com/top-level-domains-cybercrime/
TLD,\.top$,,https://unit42.paloaltonetworks.com/top-level-domains-cybercrime/
TLD,\.ws$,,https://unit42.paloaltonetworks.com/top-level-domains-cybercrime/
TLD,\.xxx$,,https://unit42.paloaltonetworks.com/top-level-domains-cybercrime/
TLD,\.xyz$,,https://unit42.paloaltonetworks.com/top-level-domains-cybercrime/
TLD,\.zw$,,https://unit42.paloaltonetworks.com/top-level-domains-cybercrime/
